ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Motivation_Structure
Matses-63_head-1,,Matses,63_head,mapi,mapi,m a + p i,,fleck2005,554,,,,77 184,head _pi
Matis-63_head-1,,Matis,63_head,maʂo,maʂo,m a + ʂ o,,fleck2005,554,,,,77 180,head _ʂo
Marubo-63_head-1,,Marubo,63_head,mapu,mapu,m a + p u,,fleck2005,554,,,,77 76,head _pu
Katukina-63_head-1,,Katukina,63_head,mapu,mapu,m a + p u,,aguiar1994,554,,,,77 76,head _pu
Kanamari-63_head-1,,Kanamari,63_head,mapu,mapu,m a + p u,,aguiar1994,554,,,,77 76,head _pu
Shipibo_Konibo-63_head-1,,Shipibo_Konibo,63_head,mapu,mapu,m a + p u,,fleck2005,554,,,,77 76,head _pu
Kapanawa-63_head-1,,Kapanawa,63_head,mapu,mapu,m a + p u,,loos1998,554,,,,77 76,head _pu
Shanenawa-63_head-1,,Shanenawa,63_head,mapu,mapu,m a + p u,,lanes2005,554,,,,77 76,head _pu
Yawanawa-63_head-1,,Yawanawa,63_head,mapu,mapu,m a + p u,,paula1992,554,,,,77 76,head _pu
Nukini-63_head-1,,Nukini,63_head,mapu,mapu,m a + p u,,aguiar2004,554,,,,77 76,head _pu
Poyanawa-63_head-1,,Poyanawa,63_head,βuhka,βuhka,β u + h k a,,paula1992,555,,,,81 79,hair _ʂka
Iskonawa-63_head-1,,Iskonawa,63_head,βuhka,βuhka,β u + h k a,,zariquiey2017,555,,,,81 79,hair _ʂka
Chakobo-63_head-1,,Chakobo,63_head,mapu,mapu,m a + p u,,zingg1998,554,,,,77 76,head _pu
Pakawara-63_head-1,,Pakawara,63_head,mapu,mapu,m a + p u,,key2000,554,,,,77 76,head _pu
Kakataibo-63_head-1,,Kakataibo,63_head,maʂka,maʂka,m a + ʂ k a,,zariquiey2017,555,,,,77 79,head _ʂka
Kaxarari-63_head-1,,Kaxarari,63_head,wɨʂkata,wɨʂkata,w ɨ + ʂ k a t a,,couto2005,0,,,,0 79,forehead _ʂkata
Mastanawa-63_head-1,,Mastanawa,63_head,bapu,bapu,b a + p u,,zariquiey2017,554,,,,77 76,head _pu
Chaninawa-63_head-1,,Chaninawa,63_head,βasakati,basakati,b a + s k a t i,,zariquiey2017,555,,,,77 79,head _ʂka
Sharanawa-63_head-1,,Sharanawa,63_head,bapu,bapu,b a + p u,,zariquiey2017,554,,,,77 76,head _pu
Amawaka-63_head-1,,Amawaka,63_head,mapu,mapu,m a + p u,,zariquiey2017,554,,,,77 76,head _pu
Nawa-63_head-1,,Nawa,63_head,ba:pu,bapu,b a + p u,,zariquiey2017,554,,,,77 76,head _pu
Marinawa-63_head-1,,Marinawa,63_head,bapu,bapu,b a + p u,,zariquiey2017,554,,,,77 76,head _pu
Marinawa-63_head-2,,Marinawa,63_head,ɸuʂka,ɸuʂka,ɸ u + ʂ k a,,zariquiey2017,555,,,,81 79,hair _ʂka
Yaminawa-63_head-1,,Yaminawa,63_head,bapu,bapu,b a + p u,,zariquiey2017,554,,,,77 76,head _pu
Kashinawa_P-63_head-1,,Kashinawa_P,63_head,βuʂka,βuʂka,β u + ʂ k a,,zariquiey2017,555,,,,81 79,hair _ʂka
Kashinawa_B-63_head-1,,Kashinawa_B,63_head,βuʂka,βuʂka,β u + ʂ k a,,camargo1995,555,,,,81 79,hair _ʂka
Araona-63_head-1,,Araona,63_head,e-šoa,ešoa,e + ʃ o a,,pitman1981,556,,,,75 83,_:suffix/e head
Matses-60_hair-1,,Matses,60_hair,βu,manɨdaid,m a + n ɨ d a i d,,fleck2005,539,,,,77 83,head _nëdaid
Matis-60_hair-1,,Matis,60_hair,ʂakkete,ʂakkete,ʂ a k k e t e,,fleck2005,543,,,,58,sakkete
Marubo-60_hair-1,,Marubo,60_hair,βu,βu,β u,,fleck2005,539,,,,9,hair
Katukina-60_hair-1,,Katukina,60_hair,βuu,βuu,β u,,aguiar1994,539,,,,9,hair
Kanamari-60_hair-1,,Kanamari,60_hair,βuu,βuu,β u,,aguiar1994,539,,,,9,hair
Shipibo_Konibo-60_hair-1,,Shipibo_Konibo,60_hair,βu,βu,β u,,fleck2005,539,,,,9,hair
Kapanawa-60_hair-1,,Kapanawa,60_hair,βu,βu,β u,,loos1998,539,,,,9,hair
Shanenawa-60_hair-1,,Shanenawa,60_hair,ɸu,ɸu,ɸ u,,lanes2005,539,,,,9,hair
Yawanawa-60_hair-1,,Yawanawa,60_hair,βu,βu,β u,,paula1992,539,,,,9,hair
Nukini-60_hair-1,,Nukini,60_hair,βu,βu,β u,,aguiar2004,539,,,,9,hair
Poyanawa-60_hair-1,,Poyanawa,60_hair,βu,βu,β u,,paula1992,539,,,,9,hair
Iskonawa-60_hair-1,,Iskonawa,60_hair,βu,βu,β u,,zariquiey2017,539,,,,9,hair
Chakobo-60_hair-1,,Chakobo,60_hair,βu,βu,β u,,zingg1998,539,,,,9,hair
Pakawara-60_hair-1,,Pakawara,60_hair,wuu,wuu,w u u,,key2000,539,,,,9,hair
Kakataibo-60_hair-1,,Kakataibo,60_hair,βu,βu,β u,,zariquiey2017,539,,,,9,hair
Kaxarari-60_hair-1,,Kaxarari,60_hair,wɨʂkatʃani,βɨʂkatʃani,β ɨ + ʂ k a + tʃ a n i,,couto2005,542,,,,81 79 10,forehead _ʂka bodyhair
Mastanawa-60_hair-1,,Mastanawa,60_hair,fuʔu,fuʔu,f u ʔ u,,zariquiey2017,539,,,,9,hair
Chaninawa-60_hair-1,,Chaninawa,60_hair,ɸu,ɸu,ɸ u,,zariquiey2017,539,,,,9,hair
Sharanawa-60_hair-1,,Sharanawa,60_hair,ɸu,ɸu,ɸ u,,zariquiey2017,539,,,,9,hair
Amawaka-60_hair-1,,Amawaka,60_hair,βu,βu,β u,,zariquiey2017,539,,,,9,hair
Nawa-60_hair-1,,Nawa,60_hair,ɸuʔu,ɸuʔu,ɸ u ʔ u,,zariquiey2017,539,,,,9,hair
Marinawa-60_hair-1,,Marinawa,60_hair,ɸuʔu,ɸuʔu,ɸ u ʔ u,,zariquiey2017,539,,,,9,hair
Yaminawa-60_hair-1,,Yaminawa,60_hair,hu,hu,ɸ u,,zariquiey2017,539,,,,9,hair
Kashinawa_P-60_hair-1,,Kashinawa_P,60_hair,βu,βu,β u,,zariquiey2017,539,,,,9,hair
Kashinawa_B-60_hair-1,,Kashinawa_B,60_hair,βu,βu,β u,,camargo1995,539,,,,9,hair
Araona-60_hair-1,,Araona,60_hair,šoa-iɲa,šoaiɲa,ʃ o a + i ɲ a,,pitman1981,494,,,,83 84,head hair
